mean,lower,upper
NA,NA,NA
2.48,1.84872987292813,3.11127012707187
3.22222222222222,2.88592542389937,3.55851902054508
2.05172413793103,1.7232633701067,2.38018490575537
2.55172413793103,1.93970500445692,3.16374327140515
3.27272727272727,3.00901359545348,3.53644095000107
3.1875,2.77875853729609,3.59624146270391
2.89130434782609,2.65355953485794,3.12904916079423
3.4453781512605,3.33393704971692,3.55681925280409
1.96428571428571,1.34709074539045,2.58148068318098
1,0.38998295292607,1.61001704707393
3.53571428571429,3.27904761904762,3.79238095238095
2.64814814814815,2.31574872656455,2.98054756973175
1.61111111111111,0.882574411565144,2.33964781065708
2.14285714285714,1.49960153442627,2.78611275128802
2.78260869565217,2.01350323016151,3.55171416114283
3.8,3.62013806464548,3.97986193535452
2.25,1.78108523948208,2.71891476051792
2.55555555555556,1.84299004938719,3.26812106172392
2.35416666666667,1.83386330509626,2.87447002823707
2.76666666666667,2.3945058642771,3.13882746905624
2.546875,2.24152562985619,2.85222437014381
2.69,2.36,3.01
